Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
45990,4.4,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
194990,4.204958677685946,Yes,MSI,No,10,32,SSD,Intel,i7,Windows 10
44488,4.2,No,Lenovo,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
106990,4.6,Yes,Acer,No,10,16,Both,Intel,i7,Windows 10
61990,4.204958677685946,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
72858,4.5,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
74910,4.0,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
74990,4.6,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
74990,4.204958677685946,Yes,Acer,No,8,8,SSD,Intel,i5,Windows 10
24990,3.7,No,HP,Yes,Not Mentioned,4,Not Metioned,Intel,Celeron,Mac
79990,4.5,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
195902,4.7,Yes,Apple,No,9,16,SSD,Intel,i7,Mac
119990,4.204958677685946,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
55990,4.204958677685946,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
86990,4.204958677685946,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
28490,4.0,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,DOS
70999,4.2,Yes,Dell,No,8,8,SSD,Intel,i7,Windows 10
224900,4.4,Yes,Apple,No,9,16,SSD,Intel,i9,Mac
69298,4.204958677685946,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
37990,4.3,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
34990,4.2,No,Avita,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
45490,4.3,No,HP,No,10,8,SSD,Intel,i3,Windows 10
169990,4.204958677685946,Yes,Asus,No,9,24,SSD,Intel,i7,Windows 10
69990,4.5,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
59990,4.204958677685946,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
75990,4.7,No,LG,No,10,8,SSD,Intel,i5,Windows 10
62890,5.0,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
62890,5.0,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
239990,4.204958677685946,Yes,Asus,No,10,32,SSD,Intel,i9,Windows 10
59890,4.6,Yes,Asus,No,9,8,Both,Intel,i5,Windows 10
52990,4.2,No,Avita,No,10,8,SSD,Intel,i5,Windows 10
44890,4.204958677685946,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
68990,4.4,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
60990,4.204958677685946,No,Asus,No,Not Mentioned,8,Both,AMD,Ryzen 5,Windows 10
105990,4.4,No,Apple,No,10,8,SSD,Intel,i5,Mac
200890,4.204958677685946,Yes,Dell,Yes,10,16,SSD,Intel,i7,Windows 10
57978,4.204958677685946,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
79990,4.2,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
47990,4.4,No,MSI,No,10,8,SSD,Intel,i5,Windows 10
69990,4.5,No,Acer,No,7,8,SSD,Intel,i5,Windows 10
114990,4.204958677685946,No,Dell,No,8,16,SSD,Intel,i7,Windows 10
54990,4.204958677685946,No,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
129990,4.1,Yes,HP,No,10,16,SSD,Intel,i7,Windows 10
38990,3.5,No,Acer,No,10,4,HDD,Intel,i3,Windows 10
92990,4.0,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
52820,4.2,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
83490,4.204958677685946,Yes,Dell,No,10,8,SSD,Intel,i5,Windows 10
83990,4.8,Yes,HP,No,10,8,Both,Intel,i5,Windows 10
224900,4.7,Yes,Apple,No,9,16,SSD,Intel,i9,Mac
165990,4.4,No,Apple,No,8,8,SSD,Intel,i5,Mac
69990,4.5,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
26990,3.8,No,Asus,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
299990,4.9,Yes,ALIENWARE,No,10,32,SSD,Intel,i9,Windows 10
142567,4.204958677685946,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
36990,3.8,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 5,Windows 10
79990,4.9,Yes,MSI,No,10,8,SSD,Intel,i7,Windows 10
27990,4.0,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Athlon,Windows 10
79990,4.204958677685946,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
21990,4.2,No,HP,Yes,Not Mentioned,4,Not Metioned,Not Metioned,Not Metioned,Mac
